"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000002645383",1965.57214971406,3.96988363168423,0.148151810401043,26.7960521099126,3.59234986911548e-158,6.40013052681614e-156,"ENSG00000264538","oligodendrocyte precursor cell"
"ENSG000001592174",172.820450911207,-10.3041076418167,0.384732751125777,-26.7825071082864,5.16637662880561e-158,9.1132837642377e-156,"ENSG00000159217","oligodendrocyte precursor cell"
"ENSG000001009791",1252.84414568293,-8.72223275455855,0.325806465171094,-26.771208330621,6.99459809857789e-158,1.2217231345516e-155,"ENSG00000100979","oligodendrocyte precursor cell"
"ENSG000001688725",216.428688752238,-6.14397267538991,0.229705844923161,-26.7471325226624,1.33335581352686e-157,2.30631720133928e-155,"ENSG00000168872","oligodendrocyte precursor cell"
"ENSG000001557601",561.003353517162,-11.1571680079446,0.417240790720665,-26.7403577408473,1.59861014006566e-157,2.73854213994324e-155,"ENSG00000155760","oligodendrocyte precursor cell"
"ENSG000001274639",558.981460697292,-4.24012138624198,0.158672220243999,-26.7225187857189,2.57709037787772e-157,4.37270877831137e-155,"ENSG00000127463","oligodendrocyte precursor cell"
"ENSG000001989144",416.310191427187,-7.83092009010483,0.293441815477509,-26.6864491598166,6.76139130161347e-157,1.1364240323542e-154,"ENSG00000198914","oligodendrocyte precursor cell"
"ENSG000000132886",449.102882271994,-4.43448598305306,0.166248246610487,-26.6738812195889,9.45943966333118e-157,1.57504090693372e-154,"ENSG00000013288","oligodendrocyte precursor cell"
"ENSG000001494806",473.328450632752,-6.60523262008139,0.247848810497269,-26.6502494275806,1.77781362221488e-156,2.93273402716484e-154,"ENSG00000149480","oligodendrocyte precursor cell"
"ENSG000001415225",1497.71932686382,-5.76924133848057,0.216625253802083,-26.6323581264056,2.86538172930279e-156,4.68345329259253e-154,"ENSG00000141522","oligodendrocyte precursor cell"
"ENSG000001433216",1239.31623273118,-6.04735102794363,0.227939331255828,-26.5305289553403,4.30898734827655e-155,6.97899259971773e-153,"ENSG00000143321","oligodendrocyte precursor cell"
"ENSG000001244065",2242.06547504259,8.1163076442203,0.305998085904365,26.5240471038663,5.11865915264049e-155,8.21567851022009e-153,"ENSG00000124406","oligodendrocyte precursor cell"
"ENSG000000873658",1274.11534408416,-4.65119428884028,0.17543795243566,-26.511904774687,7.06631488182383e-155,1.12404880298726e-152,"ENSG00000087365","oligodendrocyte precursor cell"
"ENSG000000632447",872.556981449874,-5.28715241519244,0.199717243616269,-26.4731893924545,1.97364154955567e-154,3.11171662361804e-152,"ENSG00000063244","oligodendrocyte precursor cell"
"ENSG000001823783",88.4078265389092,-9.80807502695152,0.370891221384779,-26.4446135724959,4.20822981613593e-154,6.57665108809454e-152,"ENSG00000182378","oligodendrocyte precursor cell"
"ENSG000001679788",3957.03050911704,-3.73113297198797,0.141497629710924,-26.3688726066337,3.11861595453079e-153,4.8314140735583e-151,"ENSG00000167978","oligodendrocyte precursor cell"
"ENSG000001294743",478.949711514891,-13.1458888556681,0.499836857485626,-26.3003591247693,1.89965945486775e-152,2.91761490068308e-150,"ENSG00000129474","oligodendrocyte precursor cell"
"ENSG000002136994",205.544396164088,-10.4819084395484,0.399787602242823,-26.2186930778855,1.62694209661847e-151,2.47740174302176e-149,"ENSG00000213699","oligodendrocyte precursor cell"
"ENSG000002489323",1271.02631442897,5.05360069230326,0.192909032317569,26.1968070213735,2.88960328682674e-151,4.36281119983943e-149,"ENSG00000248932","oligodendrocyte precursor cell"
