"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000001272493",1612.30871731845,8.27863313855978,0.263938850236828,31.3657240346826,5.93897779968042e-216,2.64388444197273e-212,"ENSG00000127249","55"
"ENSG000002044423",4082.78861536728,10.9140638577282,0.375586676038509,29.0587088254675,1.19443413829833e-185,4.25385774013568e-182,"ENSG00000204442","55"
"ENSG000002427593",787.110616697281,6.62449445638374,0.230389463255643,28.7534610427609,8.1986586086876e-182,2.43322523074833e-178,"ENSG00000242759","55"
"ENSG000002378773",1593.16661886206,9.61876755824469,0.342816548494438,28.0580607922454,3.18515143302869e-173,8.10257022399169e-170,"ENSG00000237877","55"
"ENSG000001964823",1461.97198459968,9.90349106715784,0.35331512421477,28.0301928460266,6.96587521428223e-173,1.55051674925905e-169,"ENSG00000196482","55"
"ENSG000001817223",7845.64159950027,3.53699931787199,0.126384579649853,27.9860037329809,2.40527662152508e-172,4.75897342216634e-169,"ENSG00000181722","55"
"ENSG000001799153",12915.7677079346,10.1226810093714,0.366006619991478,27.6570981410312,2.29281422182821e-168,4.08281428480949e-165,"ENSG00000179915","55"
"ENSG000001104363",13049.4547881823,9.26421732563129,0.340758827958679,27.1870207475731,9.24832238449173e-163,1.49713524273313e-159,"ENSG00000110436","55"
"ENSG000002136393",1883.34997223574,-7.04713611672898,0.26437480693445,-26.6558534772804,1.53082929405884e-156,2.27162310327548e-153,"ENSG00000213639","55"
"ENSG000001624303",853.250802473556,-10.4279369768388,0.391309008489105,-26.6488548707386,1.8452242330004e-156,2.5275313782337e-153,"ENSG00000162430","55"
"ENSG000002343773",6368.14699523687,11.6294138334205,0.436617292624243,26.6352570772521,2.652182646046e-156,3.37338688415294e-153,"ENSG00000234377","55"
"ENSG000001641883",1210.59224800779,9.15610692379267,0.345778372658237,26.4796981182003,1.66081308577761e-154,1.97160657456279e-151,"ENSG00000164188","55"
"ENSG000001881573",2604.61606486971,-12.8016859601458,0.496514794759984,-25.7830906455348,1.37236161414828e-146,1.52735270394615e-143,"ENSG00000188157","55"
"ENSG000001565083",22292.7405383387,-12.330292037419,0.487387818410224,-25.2987283876695,3.29882791796166e-141,3.45542521971431e-138,"ENSG00000156508","55"
"ENSG000002312523",793.498220314262,7.76197998050729,0.306856281364988,25.2951640617545,3.61060104341003e-141,3.5718873766668e-138,"ENSG00000231252","55"
"ENSG000001103213",2854.97092860844,-7.6637113717371,0.303979531496251,-25.2112743710562,3.01344973790244e-140,2.82423681488572e-137,"ENSG00000110321","55"
