"","time","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","signif","Gene.stable.ID","Gene.stable.ID.1","Gene.name.1","symbol.hs"
"122","5",0,3.96169033867705,0.341,0.029,0,"Gas6",TRUE,"ENSMUSG00000031451","ENSG00000183087","GAS6","GAS6"
"123","5",1.97131066907545e-72,-3.96101325286491,0.018,0.106,6.36437649511009e-68,"Dlgap2",TRUE,"ENSMUSG00000047495","ENSG00000198010","DLGAP2","DLGAP2"
"124","5",2.49352512673628e-181,-3.94924900633967,0.033,0.199,8.05034587166808e-177,"Galnt13",TRUE,"ENSMUSG00000060988","ENSG00000144278","GALNT13","GALNT13"
"125","5",0,3.9241972717508,0.463,0.037,0,"Rnf128",TRUE,"ENSMUSG00000031438","ENSG00000133135","RNF128","RNF128"
"126","5",1.33183217681323e-33,3.90117362600745,0.123,0.006,4.2998201828415e-29,"Tspan8",TRUE,"ENSMUSG00000034127","ENSG00000127324","TSPAN8","TSPAN8"
"127","5",1.06516329347062e-87,3.89678305144879,0.175,0.008,3.43887969296991e-83,"Hapln1",TRUE,"ENSMUSG00000021613","ENSG00000145681","HAPLN1","HAPLN1"
"128","5",0,3.86806421968746,0.443,0.045,0,"Inhba",TRUE,"ENSMUSG00000041324","ENSG00000122641","INHBA","INHBA"
"129","5",0,-3.8667460875728,0.44,0.768,0,"Npas3",TRUE,"ENSMUSG00000021010","ENSG00000151322","NPAS3","NPAS3"
"130","5",0,3.86656494064134,0.454,0.037,0,"Fbln2",TRUE,"ENSMUSG00000064080","ENSG00000163520","FBLN2","FBLN2"
"131","5",2.98283085783766e-302,-3.84384755836953,0.052,0.28,9.6300694245289e-298,"Cdh4",TRUE,"ENSMUSG00000000305","ENSG00000179242","CDH4","CDH4"
"132","5",0,-3.83538695330341,0.09,0.428,0,"Plch1",TRUE,"ENSMUSG00000036834","ENSG00000114805","PLCH1","PLCH1"
"133","5",7.59484845232466e-231,3.83225015117263,0.212,0.01,2.45199682283302e-226,"Pparg",TRUE,"ENSMUSG00000000440","ENSG00000132170","PPARG","PPARG"
"134","5",7.08365682380217e-40,3.79324907281076,0.164,0.007,2.28695860556453e-35,"Isl1",TRUE,"ENSMUSG00000042258","ENSG00000016082","ISL1","ISL1"
"135","5",2.81902902566261e-203,-3.78302811104034,0.038,0.166,9.10123520935174e-199,"Ppfia2",TRUE,"ENSMUSG00000053825","ENSG00000139220","PPFIA2","PPFIA2"
"136","5",2.27886879258667e-130,3.76494148661307,0.168,0.015,7.35732789686607e-126,"Stk32a",TRUE,"ENSMUSG00000039954","ENSG00000169302","STK32A","STK32A"
"137","5",2.64450423391248e-280,-3.7242264602397,0.059,0.219,8.53778191918643e-276,"Negr1",TRUE,"ENSMUSG00000040037","ENSG00000172260","NEGR1","NEGR1"
"138","5",2.86096020546755e-14,3.71498238416945,0.112,0.006,9.23661002335199e-10,"Tbx18",TRUE,"ENSMUSG00000032419","ENSG00000112837","TBX18","TBX18"
"139","5",0,-3.70934566080018,0.172,0.554,0,"Epha7",TRUE,"ENSMUSG00000028289","ENSG00000135333","EPHA7","EPHA7"
"140","5",1.00019963259457e-238,-3.68595069809143,0.068,0.287,3.22914451383158e-234,"Ednrb",TRUE,"ENSMUSG00000022122","ENSG00000136160","EDNRB","EDNRB"
"141","5",7.6242629462187e-155,-3.6747238526033,0.036,0.195,2.46149329218671e-150,"Ephb1",TRUE,"ENSMUSG00000032537","ENSG00000154928","EPHB1","EPHB1"
"142","5",4.27628934744673e-31,3.674394323794,0.128,0.009,1.38060001582318e-26,"Apbb1ip",TRUE,"ENSMUSG00000026786","ENSG00000077420","APBB1IP","APBB1IP"
"143","5",0,3.66575535256875,0.721,0.091,0,"Unc5b",TRUE,"ENSMUSG00000020099","ENSG00000107731","UNC5B","UNC5B"
"144","5",0,-3.65766838989441,0.088,0.279,0,"Fam155a",TRUE,"ENSMUSG00000079157","ENSG00000204442","NALF1","NALF1"
"145","5",7.06873155976081e-113,-3.64436544276464,0.028,0.144,2.28213998406878e-108,"Rgs7",TRUE,"ENSMUSG00000026527","ENSG00000182901","RGS7","RGS7"
"146","5",1.45599599752278e-155,-3.63154613151452,0.041,0.216,4.70068307800231e-151,"Nfasc",TRUE,"ENSMUSG00000026442","ENSG00000163531","NFASC","NFASC"
"147","5",0,3.62742588597925,0.37,0.021,0,"Sct",TRUE,"ENSMUSG00000038580","ENSG00000070031","SCT","SCT"
"148","5",0,-3.56621762260554,0.172,0.533,0,"Rtn1",TRUE,"ENSMUSG00000021087","ENSG00000139970","RTN1","RTN1"
"149","5",9.99807989420726e-141,-3.56526541572447,0.044,0.199,3.22788009384481e-136,"Ntn1",TRUE,"ENSMUSG00000020902","ENSG00000065320","NTN1","NTN1"
