"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gcnt4",266.295115939294,0.723902010183804,0.210118508163088,0.000381047237144189,0.00135683496212064
"Gm48597",51.0213369941117,1.75175492509385,0.477823225155476,3.2834683050297e-05,0.000145719636937851
"1700029F12Rik",4.60268110823043,0.939281389397101,0.902596317587444,0.0972800288565976,0.172883455775985
"Fam169a",6378.36310946196,-1.37800850691196,0.333589283968282,6.62447890955759e-06,3.38859389040302e-05
"Gm6169",38.5656970178402,0.136204984409905,0.629351659732073,0.752637516331369,0.83164258224279
"Nsa2",5832.35908449081,0.680843795367961,0.179301974015805,0.000107110120760055,0.000430027299644073
"Gfm2",3890.38075359314,-0.226282801191063,0.193534363251249,0.227908620030338,0.34341323711421
"Hexb",7447.73092843513,0.297463134550705,0.203631450904776,0.129077445495851,0.218276609569922
"Enc1",5185.2428362185,0.460429335714426,0.291056158556656,0.0876461581323613,0.158426043586445
"C430039J16Rik",4.69415635706128,-0.472346467315597,0.885244904408655,0.223625277569743,0.338440489591946
"Gm33447",2.14686515212241,-0.355330422183092,0.955435444332513,0.181960929448049,0.287227210110273
"Lncenc1",1438.35488264067,-0.868896073703294,0.318836059638646,0.003122937111454,0.00899521709375612
"Gm2379",118.787225077165,-0.253907407795544,0.382990121536031,0.452738123183945,0.581830841993129
"Gm41030",2.06530438171817,0.0630919929034938,0.783941369084738,0.872435524616279,0.916471033157735
"Gm5086",40.0227475000551,0.670399883068893,0.398241439094387,0.0585728029918583,0.113388827677985
"5330416C01Rik",56.1586259143594,0.409925521775374,0.432896492245596,0.266761189315897,0.388668184433377
"Gm26619",13.9226296010402,0.674171266069968,0.671126187389808,0.151617259986467,0.248891486073931
"Gm10260",107.123084620706,0.0341090661163834,0.801065835799971,0.897170893310363,0.933409488919265
"Gm41031",106.823639859571,-0.117514190085819,0.339170908110846,0.706152578252326,0.79581183765704
"Gm34388",7.6560731525054,0.725014513948564,0.815257123513354,0.159007320328837,0.258622939474958
"Arhgef28",6371.73579325601,1.00333702416298,0.15150333067841,1.7969829754826e-11,1.94958876990817e-10
"Utp15",2242.18672727606,-0.125954746929956,0.142838432447466,0.370535294463922,0.49990945022242
"Ankra2",2360.9585476403,0.569339900161507,0.285486076180951,0.0327053771313966,0.0694115183069917
"Gm21976",23.1599850211661,-0.446335878075569,0.432783368446728,0.238562681279234,0.356242789313981
"Btf3",15123.5183172628,0.546983887300811,0.322221466345495,0.0608215842416873,0.117024445825864
"Gm9828",692.8210263971,-1.1445044420298,0.172236364764468,1.18630603213451e-11,1.30370836335611e-10
"Foxd1",104.272275061055,-2.06188322885339,0.305468826485242,2.45092961427152e-12,2.86398995385104e-11
"2310005E17Rik",3.32223007662835,0.194520688947448,0.773968276276728,0.62745763258713,0.73421477871036
"Gm29501",0.16188308894219,0.0490422167233526,0.903451562433367,0.896176672991855,NA
"Gm10320",15.2451950439792,1.46722864844005,0.596427922636419,0.00345838599334979,0.00984345528431202
"Gm48050",0.534251422756243,-0.122922318046678,0.897115276447788,0.691582257358749,NA
"Tmem174",0.400799921824873,-0.114188017891366,0.911040659864336,0.600267862163039,NA
"Tmem171",8.29205591358474,0.213904879896927,0.60900405774224,0.635933235377071,0.740899301989275
"Gm9465",32.7213010751665,0.733166870243035,0.375883096444238,0.0322878008032452,0.0686847129571498
"Fcho2",15701.7323981252,0.161922325704333,0.148824269973174,0.270656286881201,0.393037868959951
"D130062J10Rik",396.897092045408,0.100132849608888,0.175111168802412,0.561188029457637,0.678647228217604
"Gm47551",266.407473688614,-0.0481785045333224,0.212372206590613,0.813263206478024,0.875430674913213
"Tnpo1",30754.925988471,-0.192846450076469,0.12356884022368,0.114677606638666,0.197954408859173
"Gm35215",3.05532707476561,0.148553604962535,0.76351932374186,0.714044373570333,0.801466592621808
"1700024P04Rik",0,NA,NA,NA,NA
"Gm35279",4.84015500585688,0.301573755941571,0.675080066150631,0.519801853939783,0.644038542182005
"A930014D07Rik",15.70432548164,-0.232172945496798,0.583914427680913,0.589467867790924,0.702968234825429
"2310020H05Rik",0.733907210368638,0.0374867122082553,0.869272725759423,0.911214943986479,NA
"Gm807",3.93625796996998,-0.692355296596505,0.869896707685643,0.17529860221979,0.278754833339425
"Zfp366",13.5547944261581,-0.736765092502422,0.65049693656629,0.127117671276217,0.215620958722223
"Ptcd2",1265.39118932313,-0.0690688091375138,0.144841331393193,0.628200701396249,0.734814246825606
"Mrps27",4135.64506430189,-0.519922806475426,0.209061435887998,0.00999080981422137,0.0249974440969184
"6430562O15Rik",302.361723173432,-0.0586733858714557,0.203967403473356,0.764921540081294,0.841102418402103
"Map1b",65094.277511317,0.359143735798826,0.201397309318562,0.0662816059799948,0.125957301807862
"Gm26559",120.152885265192,0.117205770180149,0.252001103275309,0.629288966607223,0.735580559599523
"Cartpt",156.346870924134,-4.85648796515344,0.440665614352552,1.48539047337925e-29,5.54821655701803e-28
"Mccc2",1831.59282725039,0.0113644494776873,0.138314385611498,0.934591123608643,0.959294636264267
"Bdp1",15077.8528158095,-0.154984706679001,0.154085094778738,0.305899321947486,0.431477260647301
"BC001981",6.9909469569575,0.339954186994904,0.66261741798029,0.465560996173992,0.593994832041284
"Serf1",1083.05340186129,1.79488595689651,0.248845153572187,6.58386370298178e-14,9.02676770558438e-13
"Smn1",3187.65691338218,0.238437059772513,0.210711570821571,0.242851036305256,0.361375506679134
"Naip2",39.140403576798,-0.166769633095646,0.377225318120108,0.625826509937899,0.732844741847846
"Naip5",28.0378520768405,0.0556394774659955,0.400935062372267,0.878654286391004,0.920687725372236
"Naip6",42.5763755864656,0.325896391053477,0.455443895259978,0.399812806020556,0.530819378775611
"Naip1",8.53471425419759,0.38499668919877,0.596641181667334,0.401897716340048,0.532671302083579
"Gtf2h2",3440.33359742546,-0.403718118317012,0.166214374451252,0.0124383559426921,0.0302824926117184
"Ocln",521.987249592979,1.10968870638963,0.438034314912498,0.0029898363174541,0.00865194710335405
"Gm48596",2.57509295351734,0.0489787651699602,0.778427978213445,0.911096973527965,0.943356092205072
"Marveld2",543.891491911076,0.428657815983778,0.338995992723581,0.162564304416798,0.263148191568501
"Rad17",4952.65799637056,0.169444582329942,0.134456426546244,0.217999244500667,0.331699483598733
"Ak6",2250.03101665614,0.506268023808956,0.22636157483479,0.0182903300226987,0.0422763693855574
"Taf9",142.905256766999,-0.427857000179102,0.254432414706766,0.0789893994564601,0.145401472410212
"Ccdc125",494.228242688015,-0.393205983938553,0.250383749500978,0.0984650776124394,0.174587553915172
"Cdk7",9228.34778670107,0.321217859191495,0.138376238193071,0.017207523484567,0.0400863697527078
"Mrps36",1631.82674697803,0.717578507080932,0.177877154895024,3.48036000298581e-05,0.000153616295085222
"Cenph",5364.51838317127,-0.439817778018729,0.196603133143965,0.0213138511524243,0.0482492707950641
"Ccnb1",5538.49118339215,-0.730763785496707,0.192421030511229,9.14907304150466e-05,0.000372484396131197
"Slc30a5",6002.61754099158,0.0729451227814359,0.12902346634489,0.520440380182117,0.6446102127077
"Gm29502",31.2967816935073,-0.97693972090731,0.393755860059573,0.00589395269108933,0.0157497693121588
"5930438M14Rik",2.56937568505392,-0.204212032018087,0.815825865543336,0.580112635035996,0.695589045182723
"4932411K12Rik",66.5435161223861,-0.911279347959786,0.445350754335166,0.0164825421348532,0.0386375171327121
"Gm41043",2.72366619474639,-0.101852561192483,0.729309653074279,0.812779459964824,0.875094842060183
"Gm47533",1.1354781533392,0.212607316888876,0.867875356192043,0.539649680622185,NA
"Gm29341",0,NA,NA,NA,NA
"Pik3r1",7056.21378217529,-0.105454061388096,0.148669697318674,0.470322260983077,0.59833146605488
"Gm47007",0,NA,NA,NA,NA
"Gm29927",3.07934797996022,0.00137970749333854,0.750756839255405,0.997769070373682,0.99864553192545
"Cd180",194.642679114395,-0.0743223504953904,0.235403538399893,0.741607424570295,0.822881241114369
"Mast4",39611.8181447213,-0.246117717957689,0.152404946584678,0.0919105260441957,0.164682960728853
"1700099I09Rik",20.9664060977255,0.0996372198192895,0.439787056450636,0.797990753916975,0.864801176945505
"Gm17160",120.433041477948,0.221699927244113,0.229395699425697,0.318509782886116,0.444879822855626
"Gm30551",142.701020767241,0.204317560867902,0.231153753408597,0.360545697132794,0.489502802790642
"Srek1",31283.8033051469,-0.0801974877905988,0.127606530192596,0.524274646649605,0.647784466641705
"Erbin",25571.1162487021,0.0533235559834516,0.165020398061676,0.743183453349766,0.82406621793278
"Gm47849",49.3796824182314,0.225447217904568,0.316468142889586,0.447351335226814,0.576857905014824
"Gm47851",23.1630396664064,0.6686124128921,0.467960257316226,0.0963603142522331,0.171524187356676
"Nln",6873.25078757497,0.00843217574908155,0.132039571975722,0.890021929289594,0.929066779417079
"Sgtb",1149.14677877271,0.0413231990088748,0.14383275726113,0.772319842172592,0.846124017697601
"Trappc13",3119.87990469703,-0.0230054841525805,0.136380231696608,0.862547705477078,0.908968862557758
"Shld3",425.331311169266,-0.247070857682604,0.238338651488987,0.278423203657654,0.401495264116865
"Trim23",2998.69264279695,0.0871579280424162,0.137796756790939,0.523260054581744,0.647013453334824
"Ppwd1",4869.88202071515,-0.103917222312094,0.225268843883105,0.626763961525996,0.733702662310771
"Cenpk",3426.56574147639,-0.903238830824366,0.154150905933799,2.44704367209417e-09,2.06410564579228e-08
"Adamts6",15741.7719780153,0.466962783621301,0.20247181169898,0.0178965828184558,0.0414414644775333
"Cwc27",14214.0118380352,-0.400764138994893,0.146411166781429,0.00537241952426627,0.014516017709075
"2610204G07Rik",518.639542411667,-0.591696337048505,0.197264144166383,0.00205669372110254,0.00619513017043468
"Srek1ip1",4348.28514480009,0.988640944431158,0.139161061672989,5.14294093174724e-13,6.44106574706633e-12
"Shisal2b",34.3164051072363,0.35699284799878,0.398833178913017,0.315543144532083,0.441850597175148
"Rgs7bp",448.19201603948,-3.3602027869647,0.381550797851203,4.70707394685033e-20,1.01875957282978e-18
"4933425L06Rik",8.18812919303417,-0.92820224789574,0.80899755373129,0.0841253550955809,0.153098270195579
"Rnf180",2464.89307558451,-2.67484282929442,0.213630952330936,6.65705157484143e-37,3.46792907602271e-35
"Htr1a",1.35004847891235,-0.14083369035116,0.89566959687758,0.349403131304551,NA
"Gm10739",11.5140835777296,-0.209408525775956,0.525436450112795,0.623198707583373,0.730935659411665
