	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_BMP4_2_weeks_untreated_1	CTRL2_BMP4_2_weeks_untreated_2	CTRL2_BMP4_2_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_BMP4_2_weeks_untreated_1	CTRL3_BMP4_2_weeks_untreated_2	CTRL3_BMP4_2_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
ENSG00000144476	57007	ACKR3	-0.0141737289254563	-0.0276171016504763	0.0206863264710529	0.000535742320860925	0.0169654543535471	0.0241996461530463	-0.0081022713930391	-0.034327660756017	0.0248031269374904	-0.0067405862220127	0.0329393435888205	-0.0140138918219366	0.0233861848949234	-0.0188568188274841	-0.0103161231853069	-0.0235767939590884	-0.00462466798397418	-0.00354239111775904	9.05440896966308	4.85082467642706	8.09572491140765	8.5771125125156	5.97101232626343	10.1269113737271	10.0139353465585	8.59183501357944	10.3602607071822	4.72268269964959	4.95499240061574	5.19939623750093	5.87793236020818	7.51833152661015	8.83345162228269	5.89388426999001	7.96410018568807	9.32774284292109
ENSG00000144481	79054	TRPM8	-0.00452637635635492	0.00350162266538887	0.00141880017426368	-0.000603317073998649	0.000541794904568163	0.00533053086753773	0.00557195991875299	0.00705976887624688	0.00774623563970575	0.0073933429462389	-0.00473052149493166	-0.00291611637911788	-0.0130528460466142	0.00687722417637241	-0.00141184235108156	0.0127661654466713	0.00158460716476439	0.00104644772590475	5.59809822142363	6.50496389594387	5.87097142532427	5.84951368066193	5.68136296641201	6.03098982529368	5.38312128263808	5.45651721836129	6.0769228733562	5.83476906373549	5.48064703107497	5.46091247187694	5.29858825962608	5.52215358763699	5.23180237917224	4.7111788127008	5.25284382259722	5.10714882773435
ENSG00000144485	55502	HES6	0.013027536816055	0.00199768626693556	0.0185831173745384	0.0108317633147622	0.0107846083581403	0.0222199810446827	0.0139468231887184	-0.0280855117363868	0.024553815652259	0.0119695910090886	0.0118768362895301	0.0088746737729343	-0.00472453736006567	0.0172735584708469	0.00836308196323655	-0.0142024273723929	0.00714791398782521	0.0154330014238163	13.0352819263963	10.2196942182128	11.29026750345	9.81057701575329	8.19664457208603	10.1550135628327	9.83682750562203	8.47458531921777	9.66240189479182	11.3643905182715	10.4977135239575	10.9708000546204	10.9013123722036	12.4128564481692	12.3837698543251	10.7300185434648	11.3484305024784	11.8383139628172
ENSG00000144488	339768	ESPNL	0.00815337087454165	-0.000238500418790563	-0.0105022488407591	-0.00728539398811841	-0.0219344401664324	-0.0103993697493352	0.00690148988533841	0.00377565453388731	-0.0206437230900904	-0.000627637476877346	0.00130681357669909	-0.0107161222321424	-0.00414824180816515	-0.00262123123940638	0.00187000054708379	-0.00276688400732068	-0.0034201578984441	0.00211151671189023	4.7423699220382	5.36315584018693	5.36078010455233	5.63803370867807	6.2683244482201	5.45308053107592	5.62448112205142	6.16319362401354	5.21916142584768	7.32862025916046	6.16146124135834	6.37269697393826	8.0831663364218	5.53563037779884	5.79283500476322	7.72366447711572	6.0801296014223	5.89930710041671
ENSG00000144504	51281	ANKMY1	0.00184692334282566	-0.000305094131783818	0.00325246210790843	0.00200223331197241	0.000969802947379275	0.00478342706514302	-0.000671153323041613	-0.00275607792658196	0.00171831916949767	8.98148694852113e-05	0.00798739872784493	-0.0089225165138501	0.00261881071853933	-0.00528730731869402	-0.0245573599904796	-0.0126980704449674	-0.003339696355523	0.000591007663765001	8.22301416728901	7.76932764204086	8.09510287114072	7.83696258467611	7.33841990264647	8.19034091737075	7.7526580460344	7.72017288070234	7.57914588310088	7.81897291758724	8.17786132343875	7.77158393942336	8.00116260598602	7.50022355630265	8.34665645785357	7.92223009333095	8.2210976835826	8.33549570985418
ENSG00000144524	64708	COPS7B	0.00042848180947139	0.000547529551989195	-0.00244742330895213	0.00140737149211872	-0.000249299515608444	-0.00374358009735056	-0.00259146784753421	0.0022576055326503	-0.00468013491915	0.00326349032231048	-0.0010169110119638	0.00323048732418053	0.00153354631799351	-0.00299937928788844	0.000494780063954893	-0.00263101476870295	0.000663225623541222	0.00174001035122334	10.2362243574693	10.3671926767725	10.1503522252785	10.2447157921085	10.6617397769482	10.1395433542849	10.2773257833287	10.2952792759864	10.1144034892079	10.1553321620123	10.4436379031386	10.4177363246103	10.3748544936554	10.1769627179486	10.290379610628	10.521320304265	10.1888876954043	10.2517487123278
ENSG00000144535	129563	DIS3L2	0.00350458605431614	0.000693820348840437	-0.00102026022486254	-0.000694950489615349	-8.52336242307883e-05	-0.00517509162784203	-0.00527926134012132	0.00397097431236213	-0.00468983260047949	-0.000940899933934625	0.00360933846601474	0.00267722717482849	0.00196244882757403	-0.00104045867577293	-0.00416080524920099	-0.0059743607593111	0.00439619792722531	0.0137209842041094	9.3006725692334	9.35590810346088	9.2434316153585	9.36998022054995	9.42593849976469	9.23979964679828	9.44960241793276	9.39870594746308	9.07654650980749	9.45959493942945	10.037230701079	9.9406725639415	9.75132607499543	9.50442474078541	9.77602738243596	9.97558209963814	9.62109337710736	9.53862992866124
ENSG00000144550	151835	CPNE9	-0.011955671528946	-0.00816580013864551	-0.0326482885805085	-0.0119171803219523	0.0153777415659301	-0.00766739411128487	-0.0227789275275398	-0.0139740043931067	-0.0207942440010377	0.00632257699481216	-0.0542789753493112	-0.00917390827457007	0.00216943737669615	-0.00292048350515287	0.0295967292500598	-0.00957888385364379	-0.00291335112461943	0.00179185352324779	4.63727670263396	5.1989338618573	4.55772697104607	5.39547153363247	10.9578114333573	6.57984928897209	5.9266280947441	8.94385363432865	6.97772657322	4.84934292858222	4.85007624293255	5.56941221973317	5.11446543079414	6.22690800324945	5.26351595841641	5.07330469807478	6.75673218438506	5.75475083716979
ENSG00000144554	2177	FANCD2	0.00348576996500261	0.0217457317906132	0.0144789794829565	-0.0116240648184517	-0.0089377657852843	0.00610310900588052	0.00183376623728011	-0.0186975127653406	0.00754761223854158	-0.00400568591089988	0.00317500580384382	0.0130158882874126	-0.0311943996917945	0.00211950904849548	-0.0108724137899412	0.0119297503990549	-0.00746398599979946	-0.000475007702683336	9.02865489592825	7.9075723941017	8.92487017232856	6.80247632556633	6.0671921471588	7.37057588896764	6.38925336338295	6.86648581894705	7.18666776715849	10.500470864682	10.0853102719636	8.72259663445586	7.55913928101401	7.83643127654479	6.66176203008449	6.49297639151452	6.71274924093528	6.55671171627047
ENSG00000144559	132001	TAMM41	0.00034585023881604	0.00140550784525925	-0.00084947196562491	-0.00275218419456175	-0.000401244946984054	-0.000510260613861971	0.00391534094664469	-0.00203819375100276	-0.000648914688972475	0.0016034650337926	0.00184775048654018	0.00232899335097845	0.00021501133464556	0.00032777030804251	-0.00597589683973642	-0.000942324745081676	0.003283293156222	0.00588277353610386	7.79484584689836	7.87132679980673	7.74531204339744	7.77823024657504	7.84693006154166	7.8447792301597	7.7071265268487	7.93996259603469	7.74537705949393	8.27661854853595	8.01000913613699	7.77910961127467	7.81865761397484	7.80271565915992	7.97996479088165	7.8171369404306	7.70556986258121	7.79486886044431
