	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
	entrez	symbol	PCA.PC1	PCA.PC2	PCA.PC3	PCA.PC4	PCA.PC5	PCA.PC6	PCA.PC7	PCA.PC8	PCA.PC9	PCA.PC10	PCA.PC11	PCA.PC12	PCA.PC13	PCA.PC14	PCA.PC15	PCA.PC16	PCA.PC17	PCA.PC18	CTRL2_progenitor_0_weeks_untreated_1	CTRL2_progenitor_0_weeks_untreated_2	CTRL2_progenitor_0_weeks_untreated_3	CTRL2_CNTF_3_weeks_untreated_1	CTRL2_CNTF_3_weeks_untreated_2	CTRL2_CNTF_3_weeks_untreated_3	CTRL2_BMP4_3_weeks_untreated_1	CTRL2_BMP4_3_weeks_untreated_2	CTRL2_BMP4_3_weeks_untreated_3	CTRL3_progenitor_0_weeks_untreated_1	CTRL3_progenitor_0_weeks_untreated_2	CTRL3_progenitor_0_weeks_untreated_3	CTRL3_CNTF_3_weeks_untreated_1	CTRL3_CNTF_3_weeks_untreated_2	CTRL3_CNTF_3_weeks_untreated_3	CTRL3_BMP4_3_weeks_untreated_1	CTRL3_BMP4_3_weeks_untreated_2	CTRL3_BMP4_3_weeks_untreated_3
ENSG00000000003	7105	TSPAN6	0.00943912908692318	-0.00557193935636807	0.0044753512285554	0.00398282674156336	0.00686111648010836	0.00561543792007633	0.00280825046752537	0.000201781451131387	0.00294091485265988	-0.000305381315412741	-0.00366979635128261	0.00885269039509708	-0.00429085549028592	-0.0075259477286669	-0.00654862975236965	-0.00901315615422686	0.00488426396287607	0.0097621149253162	10.961712818125	10.2989701525753	10.4073094098606	11.0219058905788	10.8675173433113	10.0556408823124	10.3789789905773	9.98946981380323	10.6392946629703	10.3218907298359	10.1483940391166	10.8096707148815	12.3991553595577	11.8915156367582	11.9515432379723	11.7929503824294	11.1526357934607	10.7229756140764
ENSG00000000419	8813	DPM1	-0.00605052047742049	0.000459074830343728	0.00104535905448973	-0.00232875110312995	0.00536114255341023	0.0036811467419381	-0.00125980084757391	-0.000214015196618788	0.00193246103555426	-0.00434369732409873	-0.0013988820081006	0.000258126724537212	-0.00235563642268892	-0.000744594884924642	-0.00418196093582417	0.00103245192520534	-0.00406041625404667	0.0455873875572093	9.65730856328109	9.46364911346872	9.90761262709786	9.11788702111464	9.89778089326749	9.62673767799519	9.72495284409446	9.67646096203704	9.96693694058749	9.7346207317161	9.18918343648617	9.12476764860851	8.90065786851882	8.74042542291199	8.93048551774118	8.89921253299053	8.85139830372156	9.08200705258189
ENSG00000000457	57147	SCYL3	0.00350556411021023	0.00127211616553146	0.00290791230398134	-0.00327981356399459	-0.00028809897928311	0.00226918747558273	0.00289400071001149	0.000271321602988571	-0.00433946352577661	-0.00253023685163229	-0.00124313769581947	0.0074507424185363	-0.00194774152232727	-0.0052940335426411	-0.00950543462134521	0.0040832485328639	-0.00313947717208699	0.0241099916330798	8.16689304642319	8.08136595559928	7.91283184888628	7.94292480914149	8.05728974370396	7.34811539754255	7.84698338711555	7.25396309054307	7.94981287388001	8.1608462475423	8.13544400328133	8.18803797863249	8.12580364843879	8.27926359872152	8.47088653079937	8.25146292265358	8.10937804060335	8.29796103621247
ENSG00000000460	55732	C1orf112	-0.00349290225024092	0.00703352324542394	-0.00181505368740908	-0.00767718640129288	0.00429528306017901	-0.0036879122498172	-0.00271639685250764	0.00808759522844964	-0.000610241246534501	0.000830417345350642	0.00613706729392489	0.0207865225654574	0.00656490364351182	-0.00139588358191233	0.00554437156747925	-0.0111200882163823	-0.00200443684794515	-0.0351046930134462	7.8222115152147	7.91851334557589	7.747124069018	7.53437465704807	7.41111033930973	7.41925419796594	7.75021763127151	7.59844848682594	8.55046953099478	8.93440186726001	8.33333988355739	8.28944143420665	7.03564024536559	7.11623414031186	7.0468657412395	7.28089543391947	7.84772710395082	7.19676297888522
ENSG00000000971	3075	CFH	0.0112055746669984	-0.00400946432816789	-0.00698825374111952	-0.0188574843211656	-0.0193994214534472	0.00248763524716529	-0.0127045847492762	0.00219663683669073	-0.00385913591208147	-0.0152991048428039	0.00114578823174371	-0.00350093460367469	-0.00612927827436179	-0.00935687133970542	-0.00933753935304669	-0.0057369559811031	-0.00432834408973062	-0.0340923266988579	5.84469554292743	4.46198012176503	4.69106770680491	5.96064732899594	5.43039666964579	4.46198012176503	6.0685513924153	4.92115481020541	5.15619214288928	6.34380868215795	5.75283862554705	6.06934143015962	5.92842814378572	6.06000243265974	6.33693674005135	6.92648388451947	7.84804815993614	8.61649450620721
ENSG00000001036	2519	FUCA2	0.00174607460995414	-0.000655240025030736	-0.000777389854245029	-0.005788505101346	0.00959246370696706	0.00655780482684946	0.00554724294653078	-0.00585331865245979	-0.00164437116302018	3.87803094984812e-05	-0.00281053869214533	0.000651279175056163	0.00433904400649405	0.000609203531512565	-0.00588661259922679	0.00567029151034635	-0.00452012760027502	0.00642597943258875	10.3010321297802	10.1519934591751	11.015949623466	9.99094412311961	11.0445384881278	10.306021065424	10.7882548578164	10.1361785010627	11.02174374372	10.9132025534747	10.7311945243442	10.6010082125849	10.7909207648287	10.8244738401022	11.0093723230479	11.094941997456	10.6450213240989	10.6402161145764
ENSG00000001084	2729	GCLC	0.00912844426733757	-0.00390207703014963	0.00472804111617229	-0.00405724368281187	0.000824899624767859	0.0068170594029734	0.00285964499347349	-0.00206535673985259	0.00540170243175171	-0.0118641491681998	-0.00364067459210055	0.0047772071843776	0.00406579144989943	-0.00434547248941815	-0.0113774336102954	-0.00687086255981771	0.00212907542324942	0.0181034753174742	9.46575043054232	8.24576067366233	9.11089982884912	9.09104153334265	8.98803849130368	7.93069058323835	8.76200273625989	8.0897551908712	8.80590510038653	8.92221004400055	8.52510765631025	9.10202354405918	9.89994452459467	10.032463483865	10.1736302383733	9.88449877934814	9.73968053746857	9.65200595677494
ENSG00000001167	4800	NFYA	4.62713490787172e-05	0.0008220144726335	-0.000762592738454692	-0.0026498543834239	-0.00235204985457086	0.00312050213613791	0.00396305984305365	0.00200672179192864	0.0060602874662708	-0.00146572969812749	-0.00715864424556928	0.00212792277054768	-0.000719185977548127	-0.000337421263193138	0.000333265723200088	0.000401088592449776	-0.00634280644311951	0.0356415433115911	10.3916492670685	10.0224323881607	10.2129224766676	9.62306241344857	9.86957775083208	9.90731997386212	10.0550105707763	10.0001969121273	10.1581394313414	9.95702570087598	10.1947299680884	10.1147419007103	9.98897842543334	9.82597647662002	10.0509119672315	10.1539896417219	10.2340909885414	10.2476132582959
ENSG00000001460	90529	STPG1	0.0194514446559595	-0.0132014098402719	0.00761406330856876	-0.01814633956063	0.0308481306003471	0.0144926796151547	0.00932736183158168	-0.00173973440372265	0.00491383621956235	-0.00107698205589696	0.00242548251776598	-0.000242105428435861	-0.00268936714325669	-0.00495869504193258	0.00607978263736146	0.0140640040490719	-0.00144654668391824	-0.00623456191878083	6.90467199201744	4.46198012176503	7.79859607867854	7.34235172544584	8.22174090030883	4.90444633245772	8.16240002515514	5.089574096817	8.23288741881137	7.41416795766068	7.54199367951457	7.06889560550864	10.5739702927394	9.53476777794947	9.51937373990981	9.75874952525391	8.28603739384389	8.053769317515
